Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,68.980003,69.230003,68.279999,68.370003,68.370003,7980300
2019-01-29,68.800003,68.949997,67.470001,68.690002,68.690002,6100500
2019-01-30,68.500000,69.709999,68.500000,69.440002,69.440002,5566000
2019-01-31,69.440002,70.599998,69.040001,70.239998,70.239998,8457000
2019-02-01,70.419998,71.360001,70.019997,70.970001,70.970001,5090100
2019-02-04,70.860001,71.709999,70.510002,71.449997,71.449997,6226500
2019-02-05,71.309998,72.000000,71.040001,71.930000,71.930000,4041200
2019-02-06,71.779999,71.970001,71.269997,71.790001,71.790001,2893800
2019-02-07,71.809998,72.669998,71.389999,72.669998,72.669998,3397700
2019-02-08,72.610001,73.070000,72.349998,73.050003,73.050003,4160900
2019-02-11,72.870003,73.360001,72.500000,72.809998,72.809998,3481000
2019-02-12,72.949997,73.589996,72.400002,73.199997,73.199997,3938600
2019-02-13,72.989998,73.410004,72.699997,73.250000,73.250000,7234100
2019-02-14,73.260002,73.690002,72.809998,72.900002,72.900002,3642100
2019-02-15,73.239998,73.570000,73.010002,73.260002,73.260002,4662400
2019-02-19,73.269997,73.680000,73.010002,73.540001,73.540001,6081000
2019-02-20,73.500000,73.779999,73.230003,73.540001,73.540001,5685700
2019-02-21,73.349998,74.440002,73.309998,74.339996,74.339996,3966400
2019-02-22,74.540001,75.050003,74.070000,75.050003,75.050003,3219100
2019-02-25,75.110001,75.239998,74.339996,75.120003,75.120003,3751100
2019-02-26,75.000000,75.110001,73.320000,73.889999,73.889999,4357300
2019-02-27,73.739998,74.400002,73.709999,74.330002,74.330002,3595381
