Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,8.634615,8.653846,8.413462,8.586538,8.586538,95301300
2019-01-29,8.557693,8.778846,8.317307,8.557693,8.557693,119046400
2019-01-30,8.634615,8.923077,8.538462,8.750000,8.750000,89892000
2019-01-31,9.557693,10.355769,9.384615,9.769231,9.769231,362585100
2019-02-01,9.807693,10.028846,9.576923,9.798077,9.798077,164488300
2019-02-04,9.875000,9.942307,9.711538,9.817307,9.817307,107373700
2019-02-05,9.855769,10.240385,9.778846,10.221154,10.221154,106936000
2019-02-06,10.259615,10.490385,10.028846,10.067307,10.067307,125306000
2019-02-07,10.019231,10.038462,9.586538,9.673077,9.673077,113052400
2019-02-08,9.625000,9.711538,9.173077,9.432693,9.432693,123291500
2019-02-11,9.490385,9.759615,9.451923,9.644231,9.644231,73515000
2019-02-12,9.682693,9.759615,9.528846,9.596154,9.596154,69807200
2019-02-13,9.596154,10.019231,9.567307,9.971154,9.971154,102894500
2019-02-14,9.894231,9.903846,9.567307,9.653846,9.653846,97122600
2019-02-15,9.730769,9.884615,9.673077,9.701923,9.701923,81478300
2019-02-19,9.644231,9.759615,9.567307,9.740385,9.740385,66111100
2019-02-20,9.701923,9.740385,9.625000,9.711538,9.711538,50594500
2019-02-21,9.644231,9.807693,9.615385,9.644231,9.644231,51514500
2019-02-22,9.663462,9.788462,9.605769,9.778846,9.778846,52771000
2019-02-25,11.125000,11.298077,10.365385,10.403846,10.403846,301841700
2019-02-26,10.790000,10.900000,10.530000,10.660000,10.660000,103433300
2019-02-27,10.830000,10.930000,10.640000,10.880000,10.880000,108654202
