Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,15.360000,15.380000,14.200000,15.080000,15.080000,5211900
2019-01-29,15.150000,15.590000,14.900000,15.370000,15.370000,3815400
2019-01-30,15.500000,15.860000,14.350000,15.030000,15.030000,5895500
2019-01-31,15.100000,15.300000,14.730000,14.950000,14.950000,3726300
2019-02-01,15.010000,15.077000,13.560000,13.940000,13.940000,9319300
2019-02-04,14.030000,14.900000,13.900000,14.850000,14.850000,4499400
2019-02-05,14.890000,15.070000,14.520000,15.030000,15.030000,3861900
2019-02-06,14.870000,15.400000,14.580000,14.950000,14.950000,3931700
2019-02-07,14.870000,15.610000,14.620000,14.960000,14.960000,5515900
2019-02-08,14.840000,14.950000,14.620000,14.700000,14.700000,2297500
2019-02-11,14.910000,15.550000,14.860000,15.030000,15.030000,3558000
2019-02-12,15.270000,16.030001,15.150000,16.010000,16.010000,8984900
2019-02-13,16.209999,16.290001,15.510000,15.870000,15.870000,4140400
2019-02-14,15.800000,17.379999,15.670000,16.990000,16.990000,10953600
2019-02-15,16.740000,16.820000,16.160000,16.170000,16.170000,6854800
2019-02-19,16.340000,17.170000,16.150000,17.059999,17.059999,6934000
2019-02-20,17.080000,17.205000,16.799999,17.180000,17.180000,6704800
2019-02-21,17.120001,17.436001,16.830000,16.900000,16.900000,3090500
2019-02-22,17.100000,17.860001,16.879999,17.809999,17.809999,6840600
2019-02-25,18.480000,18.799999,18.000000,18.750000,18.750000,8965100
2019-02-26,18.389999,18.459999,17.830000,17.900000,17.900000,7798600
2019-02-27,17.969999,18.860001,17.879999,18.490000,18.490000,6618612
