Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,157.800003,159.690002,155.300003,158.919998,158.919998,10141100
2019-01-29,159.039993,160.375000,155.919998,156.880005,156.880005,18348200
2019-01-30,161.289993,167.839996,160.500000,166.820007,166.820007,36997700
2019-01-31,167.800003,169.729996,165.699997,168.490005,168.490005,21219500
2019-02-01,168.000000,169.399994,167.630005,167.970001,167.970001,10771500
2019-02-04,166.320007,167.550003,165.610001,166.699997,166.699997,7380400
2019-02-05,168.550003,171.949997,168.000000,171.830002,171.830002,12801800
2019-02-06,171.860001,173.089996,169.990005,171.520004,171.520004,11267800
2019-02-07,169.160004,169.610001,164.335999,166.960007,166.960007,11911100
2019-02-08,163.830002,167.649994,163.750000,167.360001,167.360001,8331500
2019-02-11,168.850006,170.330002,167.449997,167.449997,167.449997,7260300
2019-02-12,169.600006,170.490005,168.610001,168.710007,168.710007,8594400
2019-02-13,169.910004,171.050003,168.990005,169.399994,169.399994,8661800
2019-02-14,167.639999,168.500000,166.610001,168.380005,168.380005,8722100
2019-02-15,168.610001,168.770004,165.410004,166.149994,166.149994,12099500
2019-02-19,166.979996,171.149994,166.500000,170.179993,170.179993,12982300
2019-02-20,171.000000,172.679993,170.610001,170.710007,170.710007,12454900
2019-02-21,171.000000,171.779999,169.800003,171.660004,171.660004,8434800
2019-02-22,172.800003,177.020004,172.520004,176.919998,176.919998,16175600
2019-02-25,181.259995,183.720001,180.729996,183.250000,183.250000,22831800
2019-02-26,179.789993,184.350006,179.369995,183.539993,183.539993,13857900
2019-02-27,181.720001,184.929993,180.880005,184.580002,184.580002,16728365
